CourseCode,CourseName,Department,Duration,BlockType,Credits,GradeLevels,Prerequisites,IsAdvanced,Description,PeriodsRequired,WorkloadLevel
25578,English 12,English,Full Year,Block,1,12,"25620,25575,25843S",false,"This writing course places an emphasis on writing as a process and on techniques used in academic writing. It also emphasizes essay structure, informative writing, and persuasive writing, as well as locating, evaluating, integrating, and citing source material, including multimodal sources. Conventions of paragraph and sentence structure, punctuation, grammar, and usage will be reviewed as needed. Students may opt to enroll in a dual credit option for this course through UW-Green Bay. Students can earn three college credits of English (Labeled as Writing Foundations 100) which transfers to all UW schools. https://www.transferology.com/state/wisconsin.htm.",1,3
25031,English 9,English,Full Year,Block,1,9,,false,"English 9 is a foundational course in which students will build the writing, reading, and speaking skills necessary for the demands of high school as well as the expectations for further English courses. Within the course, students will support written claims with strong evidence, learn how to evaluate and work with that evidence, and be able to speak about and present their findings clearly and with purpose. Students will build critical thinking skills in order to express thoughts coherently within writing as well as discussion. Additionally, students will work to build upon grammatical, vocabulary, and annotation skills.",1,3
25843S,IB English HL I (Skinny),English,Full Year,Skinny,1,"11,12","25042,25041",false,"This IB English course is the first year of a two-year sequence. Students engage in rigorous work regarding reading, analyzing, and writing about a variety of novels, short stories, dramas, and poetry that present more advanced global themes. This course stresses literary study and includes many written and oral activities designed for students to express and support their ideas. The course is designed for the student who has excellent writing skills and a powerful grasp of and passion for literature. This course prepares students for college-level work and life in a global society. *IB students have the opportunity to earn up to 6 college credits (depending on the college/university).",1,3
25644S,IB English HL II (Skinny),English,Full Year,Skinny,1,12,25843S,false,"This IB English course is the second year of a two-year sequence. Students continue developing their skills in reading, analyzing, and writing about a variety of novels, short stories, dramas, and poetry that present more advanced global themes. This course continues to focus on literary study and includes many written and oral activities designed for students to express and support their ideas. The course is designed for the student who has excellent writing skills and a powerful grasp of and passion for literature. This course prepares students for college-level work and life in a global society. *IB students have the opportunity to earn up to 6 college credits (depending on the college/university).",1,3
25650,Intercultural Communication,English,Full Year,Block,0.5,"10,11,12","25032,25031",false,"We live in a global environment where individuals from diverse cultures interact face to face and online. This course is designed to lead students through an examination of their own cultural identities and interactions with others. In addition, to look at cultures around the globe, the course will examine the interactions of values, beliefs, traditions, identities, contributions and food of non-dominant ethnic groups in the United States. Taking a communicative lens, students will address how these cultural indicators manifest through communication and how cultures use communication in different ways. This course may be taken concurrently with English 10 or third English requirement.",1,3
72594,Literature and Film Theory,English,Full Year,Block,1,"11,12","25042,25041",false,"Literature & Film Theory is the study of perspectives, storytelling, events, and documented thoughts through film. Students will share ideas by using literary inspiration to bring their creations to life. Literature & Film Theory is designed to introduce students to the study of various techniques used to bring the written word to the screen. Students will study elements of film, which will be supported through the practice of writing for different audiences and purposes. Through this work, students will analyze multiple interpretations of story, drama, and films to evaluate how each version accomplishes its core message. Students will develop characters, include symbolism, and illustrate stories to connect to a variety of media and texts. Students produce original scripts and storyboards for each of their films. Students follow models for design and process for building productions within each genre of film. Films range in genre from simple beginnings to complex-organized ideas which allow all film makers to develop substantive topics and relevant material to be shared for a universal audience. Students analyze a variety of literature through the lens of an audience member, film producer, and critic specifically attentive to character traits and relationships, storyline and progression, reactions, and director techniques and decision making.",1,3
25660,Mythology and Culture,English,Full Year,Block,0.5,"11,12","25042,25041",false,"Mythology is an elective course that focuses on the importance of stories as a foundational element of literature. This course includes a study of the Gods, Beasts, Heroes, and how creation stories and ancient oral traditions served a vital role for early civilizations in making sense of their physical world. Students will study the myths from around the world, focusing on Greek and Norse mythology, as well as myths from China, India, and Egypt. Students will learn about the purpose of myths and how they affect a culture, and students will analyze the similarities and differences across regions, as well as the changes to the original stories over time through various influences. Students will gain an understanding of the themes, archetypes, symbolism, and motifs they have encountered in the myths and how these elements influence literature and modern culture. This course may be taken concurrently with third English requirement.",1,3
72520,Seminar Digital Communications,English,Full Year,Block,2,"11,12","25042,25041",false,"Seminar Digital Communications is a semester-long capstone course that has students investigate real-world issues. SDC has three main parts: Camp IMPACT (field explorations to many local businesses), professional projects, and multimedia presentations. It is highly suggested for students to take Literature & Film Theory prior to Seminar Digital Communications or concurrently. This course may be taken concurrently with third English requirement.",1,3
45422,Accelerated Algebra II,Mathematics,Full Year,Block,1,"10,11,12","45151,45121",false,"Accelerated Algebra II explores some of the most common relationships and core ideas that create the foundation of advanced mathematics. These relationships give us the ability to model & predict the phenomena that we see in the world! The course will focus on teamwork and collaboration to develop conceptual understanding of mathematics. Units include Investigations of Functions, Transformations, Equivalent Forms, Solving and Intersections, Inverses and Logarithms, 3D graphing, Trigonometry and Polynomials. Students are required to have a graphing calculator. Students who take this course will have a deeper understanding of Algebra and be better prepared for success in future accelerated math courses.",1,3
45151,Accelerated Geometry,Mathematics,Full Year,Block,1,"9,10",45061,false,"Students in Accelerated Geometry will work in teams to explore with greater depth basic geometric principles, logical thinking, and probability. Students begin with the study of transformations and symmetry. Students then use similarity to explore trigonometry and congruence principles for triangles with an emphasis on the ability to justify their conclusions. In the second half of the course, students explore shapes other than triangles. This includes the study of polygons with more than three sides, circles, and three-dimensional solids. Students are required to have a ruler, compass, protractor, and calculator.",1,3
45061,Algebra I,Mathematics,Full Year,Block,1,9,,false,"Algebra I is designed to extend and enrich a student’s understanding of linear, exponential, and quadratic relationships. The course will develop conceptual understanding of mathematics. Units include functions, linear relationships, expressions, systems of equations, sequences, exponential functions, quadratic functions, and inequalities.",1,3
45392,Algebra II,Mathematics,Full Year,Block,1,"10,11,12","45151,45121",false,"Algebra II is about some of the most common relationships and core ideas that create the foundation of advanced mathematics. Students will use the multiple representations approach (graph, table, equation, situation). Units include Investigations of Functions, Transformations, Equivalent Forms, Solving and Intersections, Inverses and Logarithms, Trigonometry and Polynomials. Students are required to have a graphing calculator.",1,3
45586,AP Precalculus,Mathematics,Full Year,Block,1,"10,11,12","45422,45392",true,"This course is for students who have successfully completed Algebra II or Accelerated Algebra II and are serious about the rigor of higher level mathematics. It is a course that should unify the mathematics that a student has previously studied while preparing them for calculus. Students will learn about functions and analyzing graphs including linear, polynomial, rational, exponential, and logarithmic. Topics will also include trigonometry and periodic functions, average rate of change, area under a curve, and limits.",1,5
45586S,AP Precalculus (Skinny),Mathematics,Full Year,Skinny,1,"10,11,12","45422,45392",true,"This course is for students who have successfully completed Algebra II or Accelerated Algebra II and are serious about the rigor of higher level mathematics. It is a course that should unify the mathematics that a student has previously studied while preparing them for calculus. Students will learn about functions and analyzing graphs including linear, polynomial, rational, exponential, and logarithmic. Topics will also include trigonometry and periodic functions, average rate of change, area under a curve, and limits.",1,5
45634S,AP® Calculus AB (Skinny),Mathematics,Full Year,Skinny,1,"11,12",45586,true,"AP® Calculus AB consists of a full academic year of work in calculus and related topics comparable to the first semester of calculus in college. Students will explore the concepts of limits, derivatives, integrals, approximation, and applications and modeling in their study of calculus. Connections among concepts are emphasized with analytic, graphic, and numeric techniques.",1,5
45635,AP® Calculus BC,Mathematics,Full Year,Block,2,"11,12","45586,45634S",true,"AP® Calculus BC consists of a full academic year of work in calculus and related topics comparable to the first two semesters of calculus in college. The course is intended for those students who have successfully completed AP® Calculus AB or students who have had a high degree of success in AP Precalculus. Students who complete Calculus AB may also enroll in the second semester of Calculus BC. Topics studied include derivatives and integrals as well as the concept of series, convergence, divergence and the calculus of polar, vector and parametric functions.",1,5
45654S,AP® Statistics (Skinny),Mathematics,Full Year,Skinny,2,"10,11,12","45422,45392",true,"AP® Statistics consists of a full academic year of work in statistics as comparable to a first year statistics course in college. The purpose of the AP course in statistics is to introduce students to the major concepts and tools for collecting, analyzing, and drawing conclusions from data. This course draws connections between all aspects of the statistical process, including design, analysis, and conclusions. Additionally, using the vocabulary of statistics this course will teach students how to communicate statistical methods, results and interpretations. Students will learn how to use graphing calculators and read computer output in an effort to enhance the development of statistical understanding. Students are required to have a graphing calculator with statistical testing capabilities (TI-83+/TI-84+ only).",1,5
45590,College Algebra,Mathematics,Full Year,Block,1,"10,11,12","45422,45392",false,"College Algebra reviews and extends the ideas from Algebra I, Geometry, and Algebra II to more solidly understand these topics. Units include: functions and their graphs, algebraic material including real numbers, exponents and radicals, composition of functions, systems of equations, and study of the following functions: linear, polynomial, rational, power, root, inverse, exponential, and logarithmic.",1,3
45121,Geometry,Mathematics,Full Year,Block,1,10,45061,false,"Students in Geometry will work in teams to explore basic geometric principles, logical thinking, and probability. Students begin with the study of transformations and symmetry. Students then use similarity to explore trigonometry and congruence principles for triangles with an emphasis on the ability to justify their conclusions. In the second half of the course, students explore shapes other than triangles. This includes the study of polygons with more than three sides, circles, and three-dimensional solids.",1,3
45636,IB Math SL 1,Mathematics,Full Year,Block,1,"11,12","45422,45590",false,"IB Math SL 1 consists of work in algebra, functions and equations, circular functions and trigonometry, vectors, statistics, and probability. The course focuses on introducing important concepts through the development of mathematical techniques. Students are required to have a graphing calculator. IB level courses are rigorous with academically challenging curriculum designed to prepare students for college-level work and life in a global society. Students will begin to write an internal assessment paper. Students will also take the IB external assessment in the spring of year 2.",1,3
45639S,IB Math SL 2 (Skinny),Mathematics,Full Year,Skinny,1,12,45636,false,IB Math SL 2 consists of an introduction to calculus. The course focuses on introducing important concepts through the development of mathematical techniques. Students are required to have a graphing calculator. IB level courses are rigorous with academically challenging curriculum designed to prepare students for college-level work and life in a global society. Students finish writing an internal assessment paper. Students will also take the IB external assessment in the spring of the year.,1,3
45650,Introduction to Statistics,Mathematics,Full Year,Block,1,"10,11,12","45422,45392",false,"Students in Intro to Statistics will focus on building a foundation of knowledge needed for succeeding in a college-level statistics course. This course is designed for students who have completed Algebra II or higher. Topics include sampling theory, data distributions, probability, binomial probability, normal probability, confidence intervals, hypothesis testing. Students will experience hands-on experiments in data collection, computation, and interpretation. Students will learn about the variety of industries that utilize statistics.",1,3
45719,Mathematics in Global Issues,Mathematics,Full Year,Block,1,"11,12","45151,45121",false,"Students in this course will learn how mathematics is used in many areas of their lives and give them the ability to become more informed, global citizens. Through the use of mathematical models, students will draw connections between advanced algebra, geometry, and statistics. Students in this course will approach global issues through a mathematical lens. The course will be primarily project-based and units of study will include, but are not limited to: data analysis/literacy, sampling methods, experimental design, linear/exponential/geometric modeling, and algebraic concepts.",1,3
45646,PIE Calculus III,Mathematics,Full Year,Block,1,12,45635,false,"Calculus III is a study of Calculus using more than one variable. Students should be able to perform and apply vector operations and use vector-valued functions to analyze curves and motion in three-dimensional space, find partial derivatives, directional derivatives, and gradient vectors and use them to solve applied problems, solve optimization problems in three dimensions, evaluate double and triple integrals in rectangular, polar, cylindrical, and spherical coordinate systems, and compute integrals over paths and surfaces.",1,3
52391,Acting 1,Performing Arts,Full Year,Block,0.5,"9,10,11,12",,false,"This is a participation and performance class. Students will play and work in the three areas of Acting for the Stage: Vocal, Physical and Imagination. We will use exercises, games and improv to gain confidence and trust. We will create characters, perform monologues and work on scenes. Students will learn how to engage their peers in clear analysis and commentary. We will also enhance theatrical awareness by attending and reviewing one professional performance in Southeastern Wisconsin.",1,3
52392,Advanced Acting 2,Performing Arts,Full Year,Block,0.5,"10,11,12",52391,true,"This is a performance and participation class. So you’ve taken Acting 1 and you want more! Acting 2 and 3 will explore advanced scene study, monologue work, auditions and classical acting styles. All classes will be tailored to students' needs and interests as they pursue theater in high school and possibly beyond as a vocation or avocation.",1,5
52393,Advanced Acting 3,Performing Arts,Full Year,Block,0.5,"10,11,12",52392,true,"This is a performance and participation class. So you’ve taken Acting 1 and you want more! Acting 2 and 3 will explore advanced scene study, monologue work, auditions and classical acting styles. All classes will be tailored to students' needs and interests as they pursue theater in high school and possibly beyond as a vocation or avocation.",1,5
52394,Advanced Acting 4 (ITS Masterclass),Performing Arts,Full Year,Block,0.5,12,52393,true,"Acting IV is for seniors only and will focus on ITS/Masterclass performance. This is a final performance class for Advanced Actors, Crew Members and International Thespian Society (ITS) Members only. ITS membership is required to take this course. You must be a senior who has committed the bulk of your time at OHS in the Theater Department. We will decide on a show together, design and direct it during the class. We will set performance dates for school shows and public viewings. We can also work on auditions for those students planning to continue studying Theater in college.",1,5
50305S,AP Music Theory Lab (Skinny),Performing Arts,Full Year,Skinny,0.5,"11,12",50301S,true,"This course is a supplement to the IB Music SL course that focuses on providing the practical skills sets needed for success on the AP Music Theory exam. (Dictation, Sight-Singing, Ear Training, Aural Perception)",2,5
50151S,Choraliers (Skinny),Performing Arts,Full Year,Skinny,1,"9,10,11,12",,false,"This non-auditioned choir performs and studies a wide variety of choral literature including classical, folk, multicultural, seasonal, gospel, broadway, and pop stylings, both accompanied and a cappella. Students will have large group rehearsals every day focused on developing vocal technique, choral ensemble listening skills, music literacy, and music theory. In addition to four concert performances throughout the year, enrichment opportunities will be offered through various field trips and solo and ensemble preparations and performances, neither of which are mandatory. This choir has an opportunity for more extensive, optional travel.",1,3
50061S,Concert Band (Skinny),Performing Arts,Full Year,Skinny,1,"9,10,11,12",,false,"The Concert Band performs a wide variety of band music, with the objective to develop the highest level of musicianship commensurate with student abilities and interests. The Concert Band performs four concerts throughout the year, marching and pep band events, and participates at the solo and ensemble festival. Private study is very much encouraged in order to perform to one’s potential. Concert Band studies and performs repertoire up to grade 3, which is standard high school level music.",1,3
50183S,Concert Choir (Skinny),Performing Arts,Full Year,Skinny,1,"10,11,12",,false,"This by audition choir, open to 10th-12th grade students, performs and studies advanced choral literature requiring high levels of independence in vocal performance and music literacy. Students will have large group rehearsals every day focused on individual and ensemble development, sight reading, and more advanced music theory understanding. In addition to four concert performances throughout the year, enrichment opportunities will be given through various field trips and solo and ensemble preparations and performances, neither of which are mandatory. This choir has an opportunity for more extensive, optional travel. Auditions occur during the school day in the late winter/early spring for current OHS students. Transfer students must schedule their audition with the course instructor with the assistance of Student Services.",1,3
55068,Dance,Performing Arts,Full Year,Block,0.5,"9,10,11,12","55031,55111S",false,"Students will experience movement in a supportive and enjoyable environment, the skills and knowledge gained in this class can lead to self-confidence. Students will gain flexibility and strength from participating in daily dance activities. We will cover a variety of dance genres. This class can fulfill both graduation requirements of 0.5 physical education credit and 0.5 credit for fine arts.",1,3
55068S,Dance (Skinny),Performing Arts,Full Year,Skinny,0.5,"9,10,11,12","55031,55111S",false,"Students will experience movement in a supportive and enjoyable environment, the skills and knowledge gained in this class can lead to self-confidence. Students will gain flexibility and strength from participating in daily dance activities. We will cover a variety of dance genres. This class can fulfill both graduation requirements of 0.5 physical education credit and 0.5 credit for fine arts.",1,3
25419,Designing a Show,Performing Arts,Full Year,Block,0.5,"9,10,11,12",,false,"The Technical & Artistic Aspects of Theatre: This is NOT a performance class, but is heavy, hands-on participation and creation.",1,3
52431,Film Acting,Performing Arts,Full Year,Block,1,"11,12",,false,"This is a participation and performance class. “Actor training at the high school and college level has long been focused on theatre acting. Yet the vibrant images of film and television have a far more profound impact on our students' lives.” (Nancy Bishop, EdTA) This class will introduce young aspiring actors to the challenges of film, television and voiceover acting. This is an activity heavy class experience as students learn how to act and interact with technology and audition for film and voiceover “work” with the OHS Lit & Film class. A field trip to an agency may be possible with a small travel fee.",1,3
50301S,IB Music SL,Performing Arts,Full Year,Block,1,"11,12",50305S,false,"The IB Music course consists of a seminar-style section in which music theory, criticism, and analysis are taught alongside elements of musicology and ethnomusicology. This course prepares students to approach, critique, and analyze music using appropriate and meaningful vocabulary at the college level, and is a rigorous and academically challenging curriculum.",1,3
52494,IB Theater SL,Performing Arts,Full Year,Block,1.5,"11,12",,false,"Theater Capstone Class. IB level courses are rigorous with an academically challenging curriculum designed to prepare students for college-level work and life in a global society. IB Theatre SL focuses on Theatre in the Making, Theatre in Performance, and Theatre in the World. It requires students to approach all three areas from the perspective of a performer, a director, an ensemble member, a spectator, and a dramaturg. Students will study theatre practitioners, actively explore texts from around the world, and embrace the creative process of collaboration for an original theatrical piece.",1,3
52429S,Musical Theatre (Skinny),Performing Arts,Full Year,Skinny,0.5,"9,10,11,12",,false,"5-6-7-8! And off we go! This is a performance class! We will briefly study the origins and excitement of the Broadway Musical. AND THEN... we will work on the three main tenets of Musical Theater -- Singing, Movement and Acting. We will do solo, small group and large group work culminating in a Musical Review Performance for our classmates and families, if desired.. This class is heavily weighted in performance, developing Acting and Movement skills through song.",1,3
50211S,Philharmonia Orchestra,Performing Arts,Full Year,Block,1,"10,11,12",,false,"The Oconomowoc Orchestra is open to all students with experience playing string instruments. This group performs a wide variety of both string orchestra and full orchestral repertoire, aiming for a diverse blend of musical cultures and eras of composition with the objective of developing the highest level of musicianship and technical skill commensurate with student abilities and interest. The Orchestra performs in four concerts throughout the year. Private instrumental study is highly recommended in order for students to perform to their full potential.",1,3
50315S,School of Rock (Skinny),Performing Arts,Full Year,Skinny,0.5,"9,10,11,12",,false,"Students enrolled in School of Rock will focus on the study of 20th century popular music, the use of music technology and the creation of one or more performance ensembles over the one semester course. This general music course is designed both for musicians and non-musicians alike and will challenge students to collaborate in the creation of their own music. Musicians (guitar, bass, drums and piano included) will work with non-musicians to develop all aspects of a functioning band including, but not limited to, selecting a style of music, creating a name and image for the band, learning cover songs and writing music, creating and developing advertising and merchandise, creating and promoting events, and utilizing technology for live performance and recording.",1,3
50212S,Sinfonia Orchestra (Skinny),Performing Arts,Full Year,Skinny,1,9,,false,"The Oconomowoc Orchestra is open to all students with experience playing string instruments. This group performs a wide variety of both string orchestra and full orchestral repertoire, aiming for a diverse blend of musical cultures and eras of composition with the objective of developing the highest level of musicianship and technical skill commensurate with student abilities and interest. The Orchestra performs in four concerts throughout the year. Private instrumental study is highly recommended in order for students to perform to their full potential.",1,3
50091S,Symphonic Band (Skinny),Performing Arts,Full Year,Skinny,1,"9,10,11,12",,false,"The Symphonic Band performs a wide variety of band music, with the objective to develop the highest level of musicianship commensurate with student abilities and interests. The Symphonic Band performs four concerts throughout the year, marching and pep band events, and participates at the solo and ensemble festival. Private study is very much encouraged in order to perform to one’s potential. Symphonic Band studies and performs repertoire up to grade 5.",1,3
52437,Theatre Arts,Performing Arts,Full Year,Block,1,"11,12",,false,"This is NOT a performance class; however, there will be In-Class Exercises (ICEs) to focus your attention on the material we are studying. Participation in ICEs is mandatory and graded. This class is a dual credit class in collaboration with the University of Wisconsin-Green Bay. Students at OHS may choose to enroll for UWGB credits in addition to high school credit. We will study the literature, elements and artists in theater from a process-oriented historical perspective. This includes research prior to performances, attendance at theatre performances, artist interviews and writing of performance responses. Students may opt to enroll in a dual credit option through UW-Green Bay.",1,3
50193S,Treble Choir (Skinny),Performing Arts,Full Year,Skinny,1,"10,11,12",,false,"This by audition choir is open to 10th-12th grade sopranos and altos. Students will continue to develop their individual vocal technique, music literacy and music reading. Choral ensemble listening skills and performance will also be further developed and challenged through study and performance of choral repertoire written exclusively for treble voices in a variety of genres, styles, and time periods. In addition to four concert performances throughout the year, enrichment opportunities will be offered through various field trips and solo and ensemble preparations and performances, neither of which are mandatory. This choir has an opportunity for more extensive, optional travel. Auditions occur during the school day in the late winter/early spring for current OHS students. Transfer students must schedule their audition with the course instructor with the assistance of Student Services.",1,3
50121S,Wind Symphony (Skinny),Performing Arts,Full Year,Skinny,1,"9,10,11,12",,false,"The Wind Symphony is the highest level concert band with admission based on successful completion of an audition. The Wind Symphony consists of a pre-established instrumentation of 49 - 62 performers who audition annually. As an honors course, students will be expected to participate in extra rehearsals and sectionals as part of the course requirement, with most extra rehearsals occurring at 6:45 a.m. This ensemble performs throughout the year in concert, marching, and pep band settings. Private study is critical in order to maintain a performance level consistent with the expectations of this course. This group specializes in interpreting the richest and most demanding band repertoire at the college level and stresses original works for band in its numerous performances. The objective is to elicit the highest level of musicianship from individuals and the full ensemble and produce a lifelong appreciation of the arts.",1,3
55071,Advanced Fitness - Female Only,Physical Education & Health,Full Year,Block,0.5,"10,11,12","55031,55111S",true,"In Advanced Fitness- Female Only, we develop the whole student by maximizing physical ability while minimizing injury to support our students as they relentlessly pursue excellence. The instructor will achieve this by engaging all students in a unified, adaptable training program designed to safely enhance the physical ability of our students. We will maximize physical abilities while minimizing injuries by emphasizing correct technique with appropriate training loads. Students have the opportunity to have their progress tracked for improvement purposes throughout the timeline of the course. The program will be implemented in a safe, healthy, and positive environment that encourages students to push outside their comfort zone in an effort to grow as a person.",1,5
55031,Broadfield PE,Physical Education & Health,Full Year,Block,0.5,"9,10",,false,"Students will be offered a wide variety of traditional sport and fitness experiences. Fundamental skills are emphasized, setting a strong foundation for future classes.",1,3
55068,Dance,Physical Education & Health,Full Year,Block,0.5,"9,10,11,12","55031,55111S",false,"Students will experience movement in a supportive and enjoyable environment, the skills and knowledge gained in this class can lead to self-confidence. Students will gain flexibility and strength from participating in daily dance activities. We will cover a variety of dance genres. This class can fulfill both graduation requirements of 0.5 physical education credit and 0.5 credit for fine arts.",1,3
55068S,Dance (Skinny),Physical Education & Health,Full Year,Skinny,0.5,"9,10,11,12","55031,55111S",false,"Students will experience movement in a supportive and enjoyable environment, the skills and knowledge gained in this class can lead to self-confidence. Students will gain flexibility and strength from participating in daily dance activities. We will cover a variety of dance genres. This class can fulfill both graduation requirements of 0.5 physical education credit and 0.5 credit for fine arts.",1,3
40033,Health,Physical Education & Health,Full Year,Block,0.5,"9,10",,false,"This Health Education program is designed to develop positive attitudes and skills for daily living and to help individuals in the future roles as family members and citizens. The emphasis is to have individuals protect, maintain, and improve their health status by developing, establishing, and achieving positive lifestyle goals.",1,3
55201S,Leadership 1 (Skinny),Physical Education & Health,Full Year,Skinny,0.5,"9,10,11,12",,false,"Leadership 1 is primarily experience based with an emphasis on the 7 Habits of Highly Effective people and the Leader in Me framework. We will explore the 7 habits and apply them to our mission and vision of being grounded, committed and accountable. Engagement and reflective practices will be a key component to this course. A variety of activities will be used to facilitate the learning of these life skills. During the semester we will spend time learning about what it means to be proactive, taking responsibility and initiative in your life, defining your values and what matters most to you, setting and achieving goals, increasing your self confidence and improving your relationships with others. This course is open to all students grades 9-12. Intro to Leadership is the Life Ready pillar of our College, Career and Life Ready vision here at OHS. This class is focused on YOU, your personal growth, you as a leader in and out of the classroom and community.",1,3
55202,Leadership 2,Physical Education & Health,Full Year,Block,0.5,"10,11,12","24156S,55201S",false,"Leadership 2 builds upon the foundation of the first three habits: Be Proactive, Begin with the end in mind and Put First Things First. All of these habits focus on becoming a leader of self. In Leadership 2 we will dig deeper into habits 4, 5 and 6 (Think Win Win, Seek First to Understand and Then to Be Understood, and Synergize) and take our knowledge and skills to the next level of leading others. In this course students will practice habits of independence, as well as interdependence, while taking charge of various aspects of their life including their time, health, social life and contributions to their school and greater community. Students will engage in service leadership opportunities within the community and create an online leadership portfolio.",1,3
55203S,Leadership 3 (Skinny),Physical Education & Health,Full Year,Skinny,1,"11,12",,false,"Leadership 3 is an advanced, action-oriented course where students move beyond learning leadership to living it. Designed for highly motivated individuals, this course empowers students to work both independently and collaboratively as they lead real-world initiatives that impact their school and broader community. Students take on dynamic roles as coaches, community ambassadors, and changemakers, applying Stephen Covey’s 7 Habits of Highly Effective People with a strong community focus. Through hands-on experiences, students will create, market, model, and participate in projects that drive meaningful change. They will also lead efforts tied to Academic & Career Planning (ACP) and have the opportunity to earn the Wisconsin Youth Leadership Certificate.",1,3
55066,Lifetime Pursuits,Physical Education & Health,Full Year,Block,0.5,"11,12","55031,55111S",false,"This is a physical education class for students interested in lifelong activities. Units can include canoeing, biking, hiking, cross country snowshoeing, and other outdoor/indoor activities with a continued focus on fitness for life.",1,3
55099,Officiating,Physical Education & Health,Full Year,Block,0.5,"11,12","55031,55111S",false,"Sports officiating is a challenging job, but there are great rewards. To be a successful official, you will need mental toughness, good people skills, and thick skin. Sports officiating will inherently teach you all of those skills and much more. If you love sports, you will have the best view of the game as an official. More importantly, officiating will teach you how to view the games in a whole new light – one that emphasizes fairness, integrity, decisiveness, and sound judgment. This course is an elective course that focuses on the professional philosophy and requirements for officiating sports for athletic contests. Students will spend the learning term about different sports and how to officiate them.",1,3
55111S,Raccoon Performance 1 (Skinny),Physical Education & Health,Full Year,Skinny,0.5,"9,10,11,12",,false,The Developmental Level 1 Training curriculum is focused on introducing students to training protocols that teach proper movement patterns and build strength. Focus will be on movement technique while building relative body strength necessary for overall physical health. Students will be taught proper training techniques in and out of the weight room to create a solid foundation for more advanced training. Students will also begin to develop an individual performance portfolio designed to monitor and assess each student’s progress over the course of their time at OHS. This will continue to be developed as they progress through the curriculum and will carry over into future classes.,1,3
55121S,Raccoon Performance 2 (Skinny),Physical Education & Health,Full Year,Skinny,0.5,"9,10,11,12","55031,55111S",false,This training curriculum is focused on progressing students into the next step of their development. These students will engage in more advanced movement progressions and more intense training programs building off of the foundation set in the RP 1 Training curriculum. Students will continue to refine technique and build their foundation of total body strength. Students will continue to develop an individual performance portfolio designed to monitor and assess each student’s progress over the course of their time at OHS. This will continue to be developed as they progress through the curriculum and will carry over into future classes. This class can be taken multiple times over the course of a student’s enrollment at OHS.,1,3
55131,Raccoon Performance 3,Physical Education & Health,Full Year,Block,0.5,"10,11,12","55031,55111S",false,"This training curriculum focuses on more advanced training principles building off of the RP 1 curriculum and incorporating speed, agility, and conditioning. These students will engage in more advanced movement progressions, loads, and programs based on the time of year the student is on the yearly periodized training plan and their participation in co-curriculars in order to prepare them for a higher level of competition. Students will continue to develop an individual performance portfolio designed to monitor and assess each student’s progress over the course of their time at OHS. This will continue to be developed as they progress through the curriculum and will carry over into future classes. This class can be taken multiple times over the course of a student’s enrollment at OHS.",1,3
55063,Team & Individual Activities,Physical Education & Health,Full Year,Block,0.5,"10,11,12","55031,55111S",false,"Students will participate in a variety of team and individual sports/activities including fitness components. Students will need to supply seasonal appropriate equipment, for example, a bicycle.",1,3
55065,Wellness Watch,Physical Education & Health,Full Year,Block,0.5,"10,11,12","55031,55111S",false,"This physical education class allows students to achieve and maintain a health-enhancing level of physical fitness. Students will learn the values of physical activity for health, enjoyment, challenge, self-expression, and/or social interaction. Students will study basic nutrition and apply it to personal goals. They will be exposed to many of the new fitness trends in this class.",1,3
60274,Accelerated Chemistry,Science,Full Year,Block,1,"10,11,12","45061,60064",false,"This course is designed to introduce students to the basic principles of chemistry. Units of study include measurement, moles, atomic theory, periodicity, bonding and intermolecular forces, naming and formula writing, chemical equations, stoichiometry, phase changes, gas laws, thermodynamics, kinetics, acids and bases, and equilibrium. The Accelerated Chemistry course would expand beyond what is taught in Chemistry to include more in-depth content in preparation for AP/IB courses. Potential students for this course would include those who identify an interest in rigorous academic content that will prepare them for the IB Diploma Programme, IB Career-related Programme, CNA Program, AP level courses, and/or have an interest in a science-related career as identified through completion of career exploration tools in Xello. (Chemistry or Physics will fill your physical science graduation requirement).",1,3
60275,AP® Chemistry,Science,Full Year,Block,2,"11,12","45422,60274,45392,60273",true,"The AP® Chemistry course is the equivalent of the general chemistry course usually taken during the first college year. This course is designed to prepare the student for the AP Chemistry exam. Students will engage in an in-depth study of stoichiometry, solution chemistry, thermodynamics, kinetics, equilibrium, acid/base behavior, electrochemistry, atomic structure, chemical bonding, and organic chemistry.",1,5
60401S,AP® Environmental Science (Skinny),Science,Full Year,Skinny,1,"11,12","60274,45061,60273",true,"The goal of the Environmental Science Course is to provide students with the scientific principles and concepts of the Earth and the environment they live in so they understand the inter-relationships of the natural world. During the course students will identify and analyze environmental problems, evaluate the relative risks associated with these problems, and examine alternative solutions for resolving or preventing them. This course is designed to prepare the student for the AP® Environmental Science Exam.",1,5
60395,AP® Physics 1,Science,Full Year,Block,1,"10,11,12","45422,45392",true,"AP® Physics 1 is a rigorous 1 semester, algebra-based, introductory college-level physics course that explores topics such as Newtonian mechanics (including rotational motion); work, energy, and power. Through inquiry-based learning, students will develop scientific critical thinking and reasoning skills. This course requires that 25 percent of the instructional time will be spent in hands-on laboratory work, with an emphasis on inquiry-based investigations that provide students with opportunities to apply the science practices. Passing the AP Physics 1 test will earn a General Science credit at some colleges.",1,5
